2025-07-30 01:40:42,488 - INFO - Найдено товаров на странице https://aroma-euro.ru/perfume/: 40
2025-07-30 01:41:20,836 - INFO - Найдено товаров на странице https://aroma-euro.ru/perfume/: 40
2025-07-30 01:41:35,628 - INFO - Найдено страниц каталога: 5
2025-07-30 01:41:35,629 - INFO - 🔍 Этап 1: Сбор базовой информации со страниц каталога...
2025-07-30 01:41:35,629 - INFO - Обрабатываю страницу каталога 1/5: https://aroma-euro.ru/perfume/
2025-07-30 01:41:36,064 - INFO - Найдено товаров на странице https://aroma-euro.ru/perfume/: 40
2025-07-30 01:41:37,072 - INFO - Обрабатываю страницу каталога 2/5: https://aroma-euro.ru/perfume/?ysclid=mdp49dn5ev788498650&items_per_page=128
2025-07-30 01:41:37,796 - INFO - Найдено товаров на странице https://aroma-euro.ru/perfume/?ysclid=mdp49dn5ev788498650&items_per_page=128: 132
2025-07-30 01:41:38,814 - INFO - Обрабатываю страницу каталога 3/5: https://aroma-euro.ru/perfume/?ysclid=mdp49dn5ev788498650&items_per_page=16
2025-07-30 01:41:39,352 - INFO - Найдено товаров на странице https://aroma-euro.ru/perfume/?ysclid=mdp49dn5ev788498650&items_per_page=16: 20
2025-07-30 01:41:40,355 - INFO - Обрабатываю страницу каталога 4/5: https://aroma-euro.ru/perfume/?ysclid=mdp49dn5ev788498650&items_per_page=32
2025-07-30 01:41:40,914 - INFO - Найдено товаров на странице https://aroma-euro.ru/perfume/?ysclid=mdp49dn5ev788498650&items_per_page=32: 36
2025-07-30 01:41:41,919 - INFO - Обрабатываю страницу каталога 5/5: https://aroma-euro.ru/perfume/?ysclid=mdp49dn5ev788498650&items_per_page=64
2025-07-30 01:41:42,581 - INFO - Найдено товаров на странице https://aroma-euro.ru/perfume/?ysclid=mdp49dn5ev788498650&items_per_page=64: 68
2025-07-30 01:41:42,590 - INFO - Найдено уникальных товаров: 127
2025-07-30 01:41:42,590 - INFO - 🔍 Этап 2: Извлечение подробных характеристик товаров...
2025-07-30 01:41:42,958 - INFO - Обработан товар: Escentric Molecules Escentric 02 (мотив), SELUZ
2025-07-30 01:41:43,186 - INFO - Обработан товар: Tom Ford Lost Cherry (мотив), Lz 343713-T
2025-07-30 01:41:43,392 - INFO - Обработан товар: Dolce&Gabbana Imperatrice 3 (мотив), Lz 338534
2025-07-30 01:41:43,468 - INFO - Обработан товар: Tiziana terenzi Kirke (мотив), Lz 233285-T
2025-07-30 01:41:43,505 - INFO - Обработан товар: Ex Nihilo Narcotique Fleur (мотив), Lz 502536-T
2025-07-30 01:41:43,683 - INFO - Обработан товар: Nasomatto Black Afgano (мотив аромата), Lz 359607
2025-07-30 01:41:43,750 - INFO - Обработан товар: Victoria's Secret Eau So Sexy Eau De Parfum (мотив), Lz 339696
2025-07-30 01:41:43,828 - INFO - Обработан товар: Antonio Banderas Blue Seduction Man (мотив), Givaudan Premium
2025-07-30 01:41:43,887 - INFO - Обработан товар: Paco Rabanne Invictus (мотив), Givaudan Premium
2025-07-30 01:41:44,035 - INFO - Обработан товар: Ванильная смесь (мотив) Lz 700902
2025-07-30 01:41:44,058 - INFO - Обработан товар: Givenchy Ange ou Demon Le Secret (мотив), Givaudan Premium
2025-07-30 01:41:44,208 - INFO - Обработан товар: Paco Rabanne One Million (мотив), Givaudan Premium
2025-07-30 01:41:44,263 - INFO - Обработан товар: Lanvin Eclat D'Arpege (мотив), Lz 236025 / 233299
2025-07-30 01:41:44,337 - INFO - Обработан товар: Lacoste L12.12 White (мотив), Givaudan Premium
2025-07-30 01:41:44,558 - INFO - Обработан товар: Victoria's Secret Bombshell (мотив), Lz 338510
2025-07-30 01:41:44,584 - INFO - Обработан товар: Tiziana terenzi Cassiopea (мотив), Lz 343644
2025-07-30 01:41:44,683 - INFO - Обработан товар: Attar Collection Hayati (мотив), Lz 461909
2025-07-30 01:41:44,889 - INFO - Обработан товар: Gucci - Flora by Gucci Gorgeous Gardenia (мотив), Givaudan Premium
